Waste transfer destination - factory,Waste transfer destination - unknown,Entity  handling waste collection - federation of municipalities,Town,refArea,Existence of sewage network by type - open-pit,Existence of waste sorting and recycling - exists,Waste transfer destination - internal dumpsite,Observation URI,Entity  handling waste collection - municipality,Entity  handling waste collection - private company,Waste transfer destination - sanitary landfill,Existence of sewage network by type - septic tank,publisher,dataset,Entity  handling waste collection - other,references,Waste transfer destination - external dumpsite,Existence of sewage network by type - public sewage,Existence of sewage treatment station - exists 
1,0,0, Bireh,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-+Bireh,1,1,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,0,0,A'ain El-Mir (El Establ),https://dbpedia.org/page/South_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-A%27ain+El-Mir+%28El+Establ%29,0,0,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,1,0,AAridet Cheikh Zennad,https://dbpedia.org/page/Akkar_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-AAridet+Cheikh+Zennad,0,1,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,1,0,Aaba,https://dbpedia.org/page/North_Governorate,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aaba,1,0,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,1,0
0,0,0,Aabadiyeh,http://dbpedia.org/resource/Baabda_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabadiyeh,0,1,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,1,0
0,0,0,Aabaydat,http://dbpedia.org/resource/Byblos_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabaydat,0,1,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,0,0,Aabba,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabba,0,0,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,0,0,Aabbesiyyi,http://dbpedia.org/resource/Tyre_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabbesiyyi,0,0,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
0,1,0,Aabdine,http://dbpedia.org/resource/Bsharri_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabdine,0,1,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,0,0
1,0,0,Aabra Saida,http://dbpedia.org/resource/Sidon_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trash_and_Sewage-Aabra+Saida,0,1,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trash_and_Sewage-Lebanon-2023,0,https://impact.cib.gov.lb/home#open_data_section,0,1,0
